      x1        x2         z
   -2.4522         0         0
    2.4630    2.2574   -0.5644
   -2.7931   -2.5350    0.5513
    0.2858   -0.6306   -0.5907
    2.8433         0         0
   -0.9285    0.8913    0.4977
    1.5835    2.3015   -0.0098
   -1.8210   -1.2640    0.2389
    0.8435   -1.9257   -0.6636
   -2.7931   -1.3680    0.8370
    2.4630   -2.5350    0.4642
   -0.6370    0.6573    0.5265
   -1.9920    0.6573   -0.2713
   -0.9285   -2.6679   -0.2908
    1.5835   -1.2640    0.0122
         0    0.8913    0.8132
    1.2239    0.8913    0.2518
    1.6545    0.3058   -0.0239
    0.2858   -2.6679   -0.4083
   -0.9285   -0.6306   -0.3686
    1.5835    1.8947   -0.0125
   -1.1920    0.6573    0.2248
    3.0094   -0.2821    0.2541
   -1.1920   -1.2640   -0.3579
    2.0622    1.6415   -0.4614
   -1.1920    0.3058    0.1190
   -0.6370    0.3058    0.2642
   -0.3214   -1.3680   -0.9096
    1.6545   -2.7281    0.0369
   -1.8210   -2.7281    0.1073
    1.2239    2.7949    0.1237
    2.0622    1.1991   -0.4643
    1.2239    2.3015    0.2550
    3.0094    0.6573   -0.5822
         0    2.2574    0.7395
    1.2239   -1.3680   -0.3483
         0    2.3015    0.7487
   -0.3214   -0.2821   -0.2655
    1.2239   -2.7281   -0.1338
    1.6545         0         0
    1.6545   -1.3680    0.0840
   -0.9285   -1.9257   -0.5798
   -1.5536    2.4471    0.0104
   -0.3214    0.8913    0.6816
    0.5755    0.8913    0.6953
   -2.4584   -2.7281    0.3208
   -1.9920         0         0
    2.4630    1.6415   -0.7309
    1.6545    2.2574   -0.0701
    1.6545    1.1991   -0.0804
    3.0094   -0.6306    0.6275
    0.8435    2.2574    0.5140
   -2.4584   -2.3063    0.5964
    2.4630   -2.6679    0.3705
    1.5835   -2.3063    0.0101
    0.2858   -1.2640   -0.9303
    1.5835    2.2574   -0.0096
   -0.3214   -1.9257   -0.8451
   -1.5536   -2.6679   -0.0084
   -1.1920   -1.3680   -0.3735
         0   -2.6679   -0.4338
   -1.1920    2.7949    0.1293
   -1.5536   -2.3063   -0.0129
    2.4630    2.3015   -0.6328
    1.2239   -0.9405   -0.2722
         0    1.1991    0.9919
    1.5835    1.6415   -0.0138
   -0.6370    1.8947    0.7903
    2.8433    0.6573   -0.5816
   -1.1920    1.8947    0.3269
   -2.4584   -2.5350    0.4427
   -1.9920   -0.6306    0.2240
   -0.9285    2.7949    0.1863
   -0.9285    2.3015    0.4317
    2.4630   -1.9257    0.7247
         0    2.4471    0.6283
    2.8433   -2.5350    0.5551
    2.4630         0         0
    0.2858    1.8947    0.9052
    1.2239    1.8947    0.3066
    0.8435   -1.2640   -0.6821
   -2.7931   -0.2821    0.2553
    2.8433    0.3058   -0.2743
    1.5835   -2.7281    0.0053
    2.0622    2.7949   -0.1565
   -2.4584    2.2574   -0.6143
    2.8433   -0.6306    0.5326
   -2.7931    0.8913   -0.7722
   -2.7931    0.3058   -0.2724
   -1.5536   -1.2640   -0.0153
   -2.4584   -0.9405    0.6778
   -2.7931    0.6573   -0.6200
   -1.8210   -2.3063    0.1933
         0    0.6573    0.6465
    0.5755   -0.9405   -0.6232
   -0.9285   -0.2821   -0.1582
         0   -1.3680   -0.9310
   -0.3214         0         0
    2.4630   -2.3063    0.5583
   -2.7931   -2.6679    0.4525
    3.0094   -2.7281    0.3624
   -0.3214   -2.3063   -0.6560
    0.5755    1.6415    0.8146
   -2.4584    1.8947   -0.7337
    0.2858    0.3058    0.2863
   -2.7931    2.4471   -0.5671
    2.4630   -0.6306    0.4678
    2.0622    0.3058   -0.1541
   -1.1920    2.2574    0.2957
    1.5835    0.3058   -0.0039
   -2.7931    2.3015   -0.7378
   -1.8210    2.2574   -0.1825
   -1.8210   -2.6679    0.1204
   -1.5536   -0.6306   -0.0107
   -0.9285   -1.3680   -0.5573
   -2.4522   -0.9405    0.6438
   -2.7931   -0.9405    0.6990
   -2.4522    2.7949   -0.2737
    2.0622    1.8947   -0.4819
    1.6545    0.8913   -0.0689
    1.2239    2.4471    0.2203
    0.5755   -2.5350   -0.4879
   -1.1920   -0.6306   -0.2100
    1.6545   -2.3063    0.0644
         0   -0.9405   -0.7999
   -2.7931    1.6415   -0.8764
         0    0.3058    0.2865
   -1.8210         0         0
   -0.6370    2.2574    0.6217
   -2.4584    2.4471   -0.4713
   -0.9285   -2.3063   -0.4826
    2.4630    1.8947   -0.7446
    1.5835   -2.6679    0.0058
   -1.5536   -0.2821   -0.0050
   -1.9920    2.2574   -0.3306
    0.8435   -2.7281   -0.2496
    1.6545    1.8947   -0.0746
    0.2858    2.3015    0.6990
    0.5755    2.3015    0.6252
    1.6545   -2.5350    0.0473
    0.8435   -0.6306   -0.3601
    2.8433    2.4471   -0.6486
         0    2.7949    0.3221
   -1.5536   -1.3680   -0.0152
    2.4630   -0.2821    0.2145
